Barren,LC80420082013220LGN00,42,8,8/8/2013,Clear,no,0.00%,Test,124,LC08_L1TP_042008_20130808_20170309_01_T1,Train,,,,,,,,,,,,
Barren,LC80500092014231LGN00,50,9,8/19/2014,Cloudy,no,98.13%,Train,120,LC08_L1TP_050009_20140819_20170420_01_T1,Train,,,,,,,,,,,,
Barren,LC80530022014156LGN00,53,2,6/5/2014,Clear,no,0.00%,Train,122,LC08_L1TP_053002_20140605_20170305_01_T1,Test,,,,,,,,,,,,
Barren,LC81330312013202LGN00,133,31,7/21/2013,MidClouds,no,23.02%,Train,127,LC08_L1TP_133031_20130721_20170503_01_T1,Test,,,,,,,,,,,,
Barren,LC81360302014162LGN00,136,30,6/11/2014,Cloudy,no,76.93%,Val,127,LC08_L1TP_136030_20140611_20170422_01_T1,Test,,,,,,,,,,,,
Barren,LC81390292014135LGN00,139,29,5/15/2014,MidClouds,no,36.79%,Train,127,LC08_L1TP_139029_20140515_20170422_01_T1,Test,,,,,,,,,,,,
Barren,LC81550082014263LGN00,155,8,9/20/2014,Cloudy,no,100.00%,Test,124,LC08_L1GT_155008_20140920_20170419_01_T2,Test,,,,,,,,,,,,
Barren,LC81570452014213LGN00,157,45,8/1/2014,MidClouds,no,61.91%,Train,125,LC08_L1TP_157045_20140801_20170420_01_T1,Test,,,,,,,,,,,,
Barren,LC81640502013179LGN01,164,50,6/28/2013,Clear,yes,7.33%,Test,125,LC08_L1TP_164050_20130628_20170503_01_T1,Test,,,,,,,,,,,,
Barren,LC81750432013144LGN00,175,43,5/24/2013,Clear,no,0.00%,Train,117,LC08_L1TP_175043_20130524_20170504_01_T1,Test,,,,,,,,,,,,
Barren,LC81930452013126LGN01,193,45,5/6/2013,Cloudy,yes,64.06%,Train,117,LC08_L1TP_193045_20130506_20170504_01_T1,Test,,,,,,,,,,,,
Barren,LC81990402014267LGN00,199,40,9/24/2014,MidClouds,no,85.64%,Test,127,LC08_L1TP_199040_20140924_20170419_01_T1,Train,,,,,,,,,,,,
Forest,LC80070662014234LGN00,7,66,8/22/2014,Clear,yes,5.05%,Test,127,LC08_L1TP_007066_20140822_20170420_01_T1,Train,,,,,,,,,,,,
Forest,LC80160502014041LGN00,16,50,2/10/2014,MidClouds,yes,49.59%,Test,125,LC08_L1TP_016050_20140210_20170425_01_T1,Train,,,,,,,,,,,,
Forest,LC80200462014005LGN00,20,46,1/5/2014,Clear,yes,12.04%,Train,127,LC08_L1TP_020046_20140105_20170307_01_T1,Train,,,,,,,,,,,,
Forest,LC80500172014247LGN00,50,17,9/4/2014,MidClouds,no,65.83%,Train,126,LC08_L1TP_050017_20140904_20170419_01_T1,Train,,,,,,,,,,,,
Forest,LC81170272014189LGN00,117,27,7/8/2014,Cloudy,no,99.50%,Test,127,LC08_L1GT_117027_20140708_20170421_01_T2,Train,,,,,,,,,,,,
Forest,LC81310182013108LGN01,131,18,4/18/2013,Clear,yes,5.44%,Train,117,LC08_L1TP_131018_20130418_20170505_01_T2,Train,,,,,,,,,,,,
Forest,LC81330182013186LGN00,133,18,7/5/2013,MidClouds,no,97.63%,Val,126,LC08_L1TP_133018_20130705_20170503_01_T1,Train,,,,,,,,,,,,
Forest,LC81720192013331LGN00,172,19,11/27/2013,Cloudy,no,100.00%,Train,127,LC08_L1GT_172019_20131127_20170428_01_T2,Test,,,,,,,,,,,,
Forest,LC81750622013304LGN00,175,62,10/31/2013,Clear,yes,7.09%,Train,127,LC08_L1TP_175062_20131031_20170429_01_T1,Train,,,,,,,,,,,,
Forest,LC81800662014230LGN00,180,66,8/18/2014,Cloudy,no,96.55%,Test,127,LC08_L1GT_180066_20140818_20170420_01_T2,Train,,,,,,,,,,,,
Forest,LC82290572014141LGN00,229,57,5/21/2014,MidClouds,yes,53.70%,Train,126,LC08_L1TP_229057_20140521_20170422_01_T1,Test,,,,,,,,,,,,
Forest,LC82310592014139LGN00,231,59,5/19/2014,Cloudy,no,99.68%,Train,127,LC08_L1GT_231059_20140519_20170422_01_T2,Test,,,,,,,,,,,,
Grass,LC80290292014132LGN00,29,29,5/12/2014,Cloudy,no,100.00%,Train,127,LC08_L1GT_029029_20140512_20170307_01_T2,Train,,,,,,,,,,,,
Grass,LC80290372013257LGN00,29,37,9/14/2013,MidClouds,yes,25.61%,Train,127,LC08_L1TP_029037_20130914_20170309_01_T1,Train,,,,,,,,,,,,
Grass,LC80980712014024LGN00,98,71,1/24/2014,MidClouds,yes,33.01%,Train,127,LC08_L1TP_098071_20140124_20170426_01_T1,Train,,,,,,,,,,,,
Grass,LC81220312014208LGN00,122,31,7/27/2014,Clear,yes,0.70%,Test,126,LC08_L1TP_122031_20140727_20170421_01_T1,Train,,,,,,,,,,1,,
Grass,LC81220422014096LGN00,122,42,4/6/2014,Cloudy,no,100.00%,Train,127,LC08_L1GT_122042_20140406_20170424_01_T2,Train,,,,,,,,,,,,
Grass,LC81320352013243LGN00,132,35,8/31/2013,MidClouds,no,32.41%,Val,126,LC08_L1TP_132035_20130831_20170502_01_T1,Test,,,,,,,,,,,,
Grass,LC81440462014250LGN00,144,46,9/7/2014,Cloudy,no,100.00%,Test,127,LC08_L1GT_144046_20140907_20170419_01_T2,Val,,,,,,,,,,,,
Grass,LC81490432014141LGN00,149,43,5/21/2014,Clear,yes,0.12%,Train,122,LC08_L1TP_149043_20140521_20170422_01_T1,Train,,,,,,,,,,,,
Grass,LC81510262014139LGN00,151,26,5/19/2014,Cloudy,no,100.00%,Test,127,LC08_L1GT_151026_20140519_20170422_01_T2,Train,,,,,,,,,,,,
Grass,LC81750512013208LGN00,175,51,7/27/2013,MidClouds,yes,58.97%,Train,125,LC08_L1TP_175051_20130727_20170503_01_T1,Train,,,,,,,,,,,,
Grass,LC81820302014180LGN00,182,30,6/29/2014,Clear,yes,1.04%,Train,127,LC08_L1TP_182030_20140629_20170421_01_T1,Test,,,,,,,,,,,,
Grass,LC82020522013141LGN01,202,52,5/21/2013,Clear,yes,17.15%,Test,117,LC08_L1TP_202052_20130521_20170504_01_T1,Train,,,,,,,,,,,,
